Draw Date,Winning Numbers,Cash Ball
3/7/2019,07 14 20 38 58,1
3/4/2019,06 09 45 49 55,4
2/28/2019,03 15 18 21 35,2
2/25/2019,18 24 42 55 58,3
2/21/2019,03 04 34 38 39,2
2/18/2019,01 37 39 48 54,4
2/14/2019,07 10 21 33 48,2
2/11/2019,01 02 39 50 60,4
2/7/2019,20 28 50 51 60,3
2/4/2019,03 17 33 39 40,4
1/31/2019,14 16 26 39 56,4
1/28/2019,22 24 26 42 51,3
1/24/2019,13 34 36 49 55,3
1/21/2019,04 08 27 28 32,4
1/17/2019,01 22 23 29 52,2
1/14/2019,17 18 42 50 57,1
1/10/2019,05 44 45 47 54,3
1/7/2019,20 27 34 57 59,2
1/3/2019,05 09 25 33 55,2
12/31/2018,18 28 39 46 54,2
12/27/2018,01 07 36 50 52,4
12/24/2018,03 28 31 37 40,2
12/20/2018,04 29 30 40 47,4
12/17/2018,09 19 21 44 50,1
12/13/2018,04 11 18 23 47,2
12/10/2018,11 28 41 47 53,3
12/6/2018,28 32 35 42 48,4
12/3/2018,05 30 40 58 60,4
11/29/2018,29 41 48 52 57,4
11/26/2018,18 32 35 52 58,2
11/22/2018,18 24 41 43 55,4
11/19/2018,14 16 28 46 49,4
11/15/2018,15 24 36 37 41,2
11/12/2018,04 15 44 51 52,2
11/8/2018,31 35 42 44 52,4
11/5/2018,19 39 40 47 60,4
11/1/2018,03 11 32 51 56,2
10/29/2018,07 23 25 35 38,4
10/25/2018,27 33 34 42 43,4
10/22/2018,01 11 19 24 46,1
10/18/2018,07 08 16 20 44,3
10/15/2018,21 23 31 55 57,4
10/11/2018,21 27 46 51 53,4
10/8/2018,11 26 30 41 45,1
10/4/2018,06 08 26 34 42,3
10/1/2018,02 21 31 36 52,1
9/27/2018,21 25 34 38 42,2
9/24/2018,07 19 22 37 49,1
9/20/2018,26 32 47 49 51,2
9/17/2018,12 13 26 43 54,3
9/13/2018,21 26 42 51 59,1
9/10/2018,08 13 19 41 42,4
9/6/2018,06 11 13 32 38,3
9/3/2018,19 22 24 31 37,1
8/30/2018,05 45 50 52 53,1
8/27/2018,18 22 30 35 53,1
8/23/2018,05 23 26 31 51,3
8/20/2018,06 23 27 45 54,1
8/16/2018,09 25 28 29 48,1
8/13/2018,07 09 17 39 58,4
8/9/2018,01 24 26 48 60,1
8/6/2018,13 50 53 58 60,3
8/2/2018,01 10 14 29 30,1
7/30/2018,21 45 48 51 58,1
7/26/2018,02 20 33 38 45,4
7/23/2018,04 13 25 27 58,4
7/19/2018,09 12 20 38 52,1
7/16/2018,17 18 45 46 55,1
7/12/2018,01 20 28 48 56,4
7/9/2018,09 12 16 20 60,1
7/5/2018,16 21 28 31 44,4
7/2/2018,04 13 24 53 59,1
6/25/2018,12 33 37 55 58,4
6/21/2018,03 13 16 17 24,3
6/18/2018,04 27 28 40 59,2
6/14/2018,12 14 24 27 55,4
6/11/2018,14 32 33 43 55,4
6/7/2018,17 22 38 42 45,4
6/4/2018,04 13 30 38 53,3
5/31/2018,01 28 42 47 55,4
5/28/2018,13 29 31 34 47,1
5/24/2018,05 13 35 49 56,2
5/21/2018,08 18 22 37 44,1
5/17/2018,08 40 41 43 51,2
