"","city","job.title","company.name","description"
"1","New+York+NY","Data Scientist","Citi","OExperience with analytical tools, machine learning / AI languages and algorithms (e.g., Python, MatLab, R, Julia, SQL, etc)...."
"2","New+York+NY","Data Scientist","UncommonGoods","Proficiency with one or more programming languages used in statistics and data science such as R and SQL...."
"3","New+York+NY","Senior Data Scientist, Product (Free)","Spotify","Mentor and coach other data scientists. Coding skills (such as Python, Java, or Scala), experience with analytics & visualization tools (Pandas, R, SPSS, SQL,..."
"4","New+York+NY","Quantitative Analyst","TrimTabs Asset Management","Define, recommend and implement investment model specifications and data collection methods; Develop analytical tools to address financial issues;..."
"5","New+York+NY","Research Analyst, Advertiser Measurement","Spotify","Skills in big data tools like R, Python or SQL are a plus. You will work across all areas of survey research – survey design, project management, data integrity..."
"6","New+York+NY","Research Scientist, Machine Learning","Spotify","You have experience with the complexities of real-world data, and understand the value of both in-depth, qualitative and web-scale, quantitative data working..."
"7","New+York+NY","Data Scientist","Rauxa","Identify opportunities to use statistics and machine learning to create advanced analytics and value-added insights at scale...."
"8","New+York+NY","Data Strategy/Machine Learning BA","Credit Suisse","Additional responsibilities will include presenting solution proposals, securing approval from stakeholders and working with the solution architect to ensure..."
"9","New+York+NY","Cohort Lead, Data Science","WeWork","Strong Knowledge in Data Science, Data Analytics, R, Python, Etc. Professional experience as both a teacher and a data scientist...."
"10","New+York+NY","Data Scientist","Fractal Analytics","Integrate and mine large data sets, connecting data from disparate sources to identify insights and patterns using predictive and prescriptive analytics, and..."
"11","New+York+NY","Data Scientist (Data Startup)","Averity","We use sophisticated machine learning and AI for data extraction to provide predictive analytics and market insight to our client base...."
"12","New+York+NY","Data Scientist, Innovation Lab","The Hartford","Proficiency with Java, Python, R, SQL, SAS, SQL, VBA, Azure ML, Spark. Expertise with data visualization (Tableau) to produce exploratory insights:...."
"13","New+York+NY","Data Scientist","Aetna","Demonstrates proficiency in several areas of data modeling, machine learning algorithms, statistical analysis, data engineering and data visualization...."
"14","New+York+NY","Data Scientist I","AIG","Data Scientists collaborate with AIG’s Life and Retirement businesses across multiple functions, including product, distribution, marketing, operations, and..."
"15","New+York+NY","Staff Data Scientist - Technology - New York, NY","Finra","A Staff Data Scientist for Market Regulation Technology will support the establishment of data science and machine learning best practices as FINRA moves to..."
"16","Seattle+WA","Data Scientist - Delphi","Amazon.com Services, Inc.","In a typical day, you will work closely with talented machine learning scientists, statisticians, software engineers, and business groups...."
"17","Seattle+WA","Senior Data Scientist","Microsoft","5+ years of industry work experience in SQL, R, Python to implement statistical models, machine learning, and analysis (Recommenders, Prediction, Classification..."
"18","Seattle+WA","ACES Data Scientist","Amazon Services LLC","As a Data Scientist with our team, you will be responsible for modeling complex/abstract problems and discovering insights through the use of statistical,..."
"19","Seattle+WA","Data Scientist","PACCAR","Working with stakeholders from your division to develop new analytics solutions, identify new data useful for analytics projects, and support analytics best..."
"20","Seattle+WA","Entry-Level Methods Process Analyst","BOEING","Skilled scientists and thinkers. Contributes to the forecast, acquisition, and utilization plans to optimize resources in support of company initiatives and..."
"21","Seattle+WA","Data Scientist, Alexa Shopping ASR","Amazon.com Services, Inc.","Experience applying various machine learning techniques, and understanding the key parameters that affect their performance...."
"22","Seattle+WA","Researcher","Microsoft","We are a diverse team of engineers, scientists and medical doctors who are working to empower individuals, doctors and providers to improve health outcomes..."
"23","Seattle+WA","Principal Data Scientist Manager","Microsoft","As a role covering 30+ products, this is a highly visible role that requires executive maturity, management experience leading a team of data scientists as well..."
"24","Seattle+WA","Data Standards Analyst","Fred Hutchinson Cancer Research Center","The incumbent provides subject matter expertise in CDISC data standards, supports coordination efforts with SCHARP staff and network partners to standardize the..."
"25","Seattle+WA","Senior Data Scientist - Analytics","Textio","In this role you will work with a top-notch team of data scientists, engineers, product managers, and others to define and execute on a roadmap for analytics at..."
"26","Seattle+WA","Applied Research Scientist - Machine Learning","Apple","We are looking for applied scientists with a passion for using machine learning to transform in-the-wild sensing data from the most worn wearables into..."
"27","Seattle+WA","Data Engineer, Visualization","Big Fish Games","The data engineering team is looking for a data engineer to provide insights and data visualizations for many of the business units at Big Fish Games...."
